iter	MAE
0	5.079732334
5	5.031355526
10	4.982987065
15	4.936750885
20	4.887918586
25	4.83883708
30	4.790514824
35	4.740850241
40	4.694078383
45	4.644174429
50	4.596252218
55	4.547064589
60	4.500624809
65	4.458496094
70	4.419189751
75	4.381604019
80	4.347420754
85	4.310257722
90	4.276242881
95	4.242214925
100	4.205195575
105	4.167370173
110	4.130872789
115	4.094191182
120	4.058115306
125	4.024971502
130	3.991935013
135	3.95968192
140	3.929640103
145	3.898675083
150	3.869390429
155	3.839226393
160	3.809221242
165	3.77971719
170	3.749581473
175	3.719683935
180	3.692047156
185	3.663903317
190	3.636499649
195	3.609899053
200	3.585133237
205	3.559748276
210	3.535620087
215	3.51037702
220	3.486868871
225	3.463612912
230	3.441278069
235	3.418951871
240	3.396470663
245	3.37479491
250	3.354743781
255	3.334693843
260	3.31576594
265	3.297964243
270	3.282366668
275	3.26707315
280	3.250683832
285	3.235300588
290	3.220420828
295	3.205484132
300	3.190582611
305	3.175771115
310	3.160663609
315	3.147215903
320	3.133523161
325	3.12162913
330	3.111094418
335	3.101104625
340	3.090166886
345	3.079202319
350	3.068478613
355	3.058656946
360	3.049071371
365	3.03966525
370	3.030812991
375	3.022871416
380	3.014814775
385	3.007413349
390	2.998830867
395	2.991906395
400	2.985339639
405	2.977807647
410	2.9706757
415	2.964254116
420	2.95596198
425	2.94969004
430	2.943387694
435	2.935894753
440	2.930125403
445	2.923868666
450	2.917230068
455	2.911394541
460	2.905409667
465	2.899888631
470	2.894064432
475	2.887798454
480	2.882616651
485	2.877466446
490	2.872316838
495	2.866586538
500	2.861221407
505	2.856387482
510	2.851277818
515	2.845424107
520	2.840935378
525	2.835102533
530	2.83010555
535	2.826055021
540	2.821014516
545	2.816435463
550	2.812351548
555	2.808471233
560	2.80430713
565	2.800239908
570	2.79601231
575	2.792230068
580	2.788870526
585	2.784866799
590	2.782097785
595	2.778722146
600	2.775445475
605	2.771261399
610	2.768230359
615	2.764632937
620	2.76185498
625	2.758666545
630	2.755334428
635	2.751859523
640	2.74704885
645	2.742512723
650	2.739656665
655	2.736811339
660	2.73426381
665	2.730076754
670	2.726585453
675	2.723132607
680	2.719582284
685	2.716347346
690	2.714245173
695	2.710416428
700	2.707860553
705	2.704300691
710	2.701072311
715	2.698247553
720	2.695227245
725	2.691854586
730	2.687704792
735	2.685245202
740	2.682179583
745	2.68006012
750	2.677487552
755	2.674999046
760	2.673455803
765	2.671625792
770	2.669535543
775	2.667543069
780	2.665705605
785	2.663238563
790	2.661486652
795	2.658942403
800	2.656805651
805	2.655012305
810	2.651695689
815	2.649279323
820	2.646526108
825	2.644756014
830	2.64158785
835	2.639589414
840	2.636749156
845	2.633399153
850	2.631788242
855	2.62920375
860	2.627430675
865	2.62508764
870	2.623726236
875	2.622606885
880	2.620842157
885	2.618416848
890	2.616210938
895	2.614305806
900	2.612251328
905	2.610205495
910	2.608130747
915	2.605765057
920	2.60301542
925	2.599869613
930	2.598495092
935	2.595750522
940	2.593593202
945	2.591353308
950	2.588833205
955	2.586962056
960	2.583464496
965	2.580647488
970	2.579151046
975	2.576553438
980	2.574662019
985	2.573565324
990	2.570879479
995	2.569203881
999	2.567422459
