iter	Passed	Remaining
0	1618	1616815
1	1743	869999
2	1772	589134
3	1817	452511
4	1904	378981
5	1955	323972
6	2073	294182
7	2150	266646
8	2257	248609
9	2316	229377
10	2409	216628
11	2546	209651
12	2642	200596
13	2739	192917
14	2787	183033
15	2874	176761
16	2916	168660
17	2970	162046
18	3071	158599
19	3106	152213
20	3182	148348
21	3267	145240
22	3336	141717
23	3472	141197
24	3575	139455
25	3815	142922
26	3913	141016
27	3970	137821
28	4040	135298
29	4144	134008
30	4285	133947
31	4361	131938
32	4459	130677
33	4559	129542
34	4675	128898
35	4755	127331
36	4781	124449
37	4832	122331
38	4853	119591
39	4915	117982
40	4985	116604
41	5046	115099
42	5126	114086
43	5215	113320
44	5266	111766
45	5349	110934
46	5423	109961
47	5530	109694
48	5644	109548
49	5747	109200
50	5862	109093
51	6012	109608
52	6094	108891
53	6144	107634
54	6187	106311
55	6249	105352
56	6293	104114
57	6357	103248
58	6416	102333
59	6575	103013
60	6636	102159
61	6718	101637
62	6835	101666
63	6908	101037
64	6955	100054
65	7070	100063
66	7354	102413
67	7417	101667
68	7478	100899
69	7628	101346
70	7678	100469
71	7755	99963
72	7822	99340
73	7866	98434
74	7932	97837
75	8033	97667
76	8127	97421
77	8252	97551
78	8304	96811
79	8393	96529
80	8465	96050
81	8539	95601
82	8630	95348
83	8736	95267
84	8819	94940
85	9006	95722
86	9135	95872
87	9164	94974
88	9346	95672
89	9390	94947
90	9479	94694
91	9557	94328
92	9607	93695
93	9651	93020
94	9678	92201
95	9734	91665
96	9841	91616
97	9894	91071
98	9952	90576
99	10067	90606
100	10116	90042
101	10179	89617
102	10260	89358
103	10359	89254
104	10428	88888
105	10485	88432
106	10555	88093
107	10600	87554
108	10700	87465
109	10757	87039
110	10811	86592
111	10971	86984
112	11059	86810
113	11168	86798
114	11302	86983
115	11351	86508
116	11441	86350
117	11589	86624
118	11619	86025
119	11661	85519
120	11749	85351
121	11821	85075
122	11853	84514
123	11914	84169
124	11965	83756
125	12013	83333
126	12245	84177
127	12352	84149
128	12419	83856
129	12510	83724
130	12643	83871
131	12752	83856
132	12818	83560
133	12959	83753
134	13181	84462
135	13234	84080
136	13281	83661
137	13334	83294
138	13350	82697
139	13408	82367
140	13473	82085
141	13529	81748
142	13570	81330
143	13657	81185
144	13728	80950
145	13763	80507
146	13803	80095
147	13874	79870
148	13940	79620
149	14018	79437
150	14063	79070
151	14131	78838
152	14176	78481
153	14228	78166
154	14458	78822
155	14527	78594
156	14598	78385
157	14716	78423
158	14822	78400
159	14869	78066
160	14986	78098
161	15053	77868
162	15126	77676
163	15246	77720
164	15299	77425
165	15324	76991
166	15411	76875
167	15482	76677
168	15551	76469
169	15624	76282
170	15698	76103
171	15748	75811
172	15820	75628
173	15969	75811
174	16022	75533
175	16068	75228
176	16142	75058
177	16207	74845
178	16322	74866
179	16372	74586
180	16451	74442
181	16560	74429
182	16729	74688
183	16810	74552
184	16912	74507
185	17017	74474
186	17075	74237
187	17150	74076
188	17229	73931
189	17355	73989
190	17426	73812
191	17482	73571
192	17582	73517
193	17632	73258
194	17686	73015
195	17779	72931
196	17900	72963
197	17967	72778
198	18009	72491
199	18056	72225
200	18123	72043
201	18202	71908
202	18363	72095
203	18421	71878
204	18512	71793
205	18571	71580
206	18631	71375
207	18734	71335
208	18779	71073
209	18829	70834
210	18893	70650
211	18949	70435
212	19130	70682
213	19184	70462
214	19278	70390
215	19337	70187
216	19474	70268
217	19546	70116
218	19591	69867
219	19668	69734
220	19717	69500
221	19822	69466
222	19906	69358
223	19944	69095
224	19995	68872
225	20079	68767
226	20163	68661
227	20232	68507
228	20283	68289
229	20341	68101
230	20388	67872
231	20452	67705
232	20498	67476
233	20537	67229
234	20612	67101
235	20654	66863
236	20724	66721
237	20811	66631
238	20916	66599
239	21007	66523
240	21055	66312
241	21163	66288
242	21207	66064
243	21246	65828
244	21389	65913
245	21475	65821
246	21608	65875
247	21661	65682
248	21704	65462
249	21781	65344
250	21871	65266
251	22061	65485
252	22195	65532
253	22302	65503
254	22359	65323
255	22424	65171
256	22515	65092
257	22573	64919
258	22634	64757
259	22700	64608
260	22757	64435
261	22905	64520
262	22957	64334
263	23009	64148
264	23063	63967
265	23102	63749
266	23223	63756
267	23261	63534
268	23309	63342
269	23366	63175
270	23422	63006
271	23458	62785
272	23669	63032
273	23755	62943
274	23829	62823
275	23895	62681
276	24004	62654
277	24173	62781
278	24221	62592
279	24273	62416
280	24320	62230
281	24376	62065
282	24416	61860
283	24512	61799
284	24600	61717
285	24683	61622
286	24764	61522
287	24811	61339
288	24946	61373
289	25148	61569
290	25213	61430
291	25379	61537
292	25481	61486
293	25528	61302
294	25576	61122
295	25653	61013
296	25746	60941
297	25829	60846
298	25867	60645
299	25983	60627
300	26069	60539
301	26108	60342
302	26165	60190
303	26240	60077
304	26342	60026
305	26593	60313
306	26647	60151
307	26723	60041
308	26864	60074
309	26903	59881
310	26966	59743
311	27030	59606
312	27125	59538
313	27237	59505
314	27347	59470
315	27449	59415
316	27502	59255
317	27548	59081
318	27603	58926
319	27673	58805
320	27874	58960
321	27958	58868
322	28003	58694
323	28055	58534
324	28090	58341
325	28187	58276
326	28295	58234
327	28364	58112
328	28444	58012
329	28509	57882
330	28628	57861
331	28833	58014
332	28924	57935
333	28962	57751
334	29016	57599
335	29070	57448
336	29123	57297
337	29165	57123
338	29262	57057
339	29340	56954
340	29420	56856
341	29514	56785
342	29617	56730
343	29685	56609
344	29743	56469
345	29787	56303
346	29831	56139
347	29883	55989
348	29939	55846
349	29993	55702
350	30071	55602
351	30108	55426
352	30156	55272
353	30218	55144
354	30257	54974
355	30298	54808
356	30390	54737
357	30452	54610
358	30543	54535
359	30588	54379
360	30674	54296
361	30764	54220
362	30867	54166
363	30920	54026
364	31003	53937
365	31058	53801
366	31131	53695
367	31173	53536
368	31243	53427
369	31306	53306
370	31395	53228
371	31463	53116
372	31531	53003
373	31612	52913
374	31704	52841
375	31859	52873
376	31916	52741
377	31982	52627
378	32044	52506
379	32097	52369
380	32143	52222
381	32203	52098
382	32279	52000
383	32340	51879
384	32415	51781
385	32472	51653
386	32561	51576
387	32637	51479
388	32684	51336
389	32747	51220
390	32843	51155
391	32883	51003
392	32953	50897
393	33053	50837
394	33092	50686
395	33150	50562
396	33198	50424
397	33255	50300
398	33369	50263
399	33422	50134
400	33463	49987
401	33540	49893
402	33630	49820
403	33700	49716
404	33760	49598
405	33805	49458
406	33871	49350
407	33913	49207
408	33977	49096
409	34019	48954
410	34074	48831
411	34167	48763
412	34231	48653
413	34319	48578
414	34407	48501
415	34469	48389
416	34522	48265
417	34567	48130
418	34631	48021
419	34813	48076
420	34880	47971
421	34949	47868
422	35011	47758
423	35068	47639
424	35135	47535
425	35221	47458
426	35283	47347
427	35355	47251
428	35467	47207
429	35568	47149
430	35621	47026
431	35762	47020
432	35883	46988
433	35930	46858
434	35988	46743
435	36033	46612
436	36073	46474
437	36116	46340
438	36168	46219
439	36198	46070
440	36228	45922
441	36294	45819
442	36408	45777
443	36597	45829
444	36647	45706
445	36746	45644
446	36827	45560
447	36907	45475
448	36948	45341
449	37063	45299
450	37134	45203
451	37213	45117
452	37268	45001
453	37492	45090
454	37585	45019
455	37744	45029
456	37803	44917
457	37850	44792
458	37994	44782
459	38033	44648
460	38079	44522
461	38151	44427
462	38244	44356
463	38343	44292
464	38408	44190
465	38455	44066
466	38531	43977
467	38573	43848
468	38618	43723
469	38743	43689
470	38855	43640
471	39033	43664
472	39106	43570
473	39164	43460
474	39213	43341
475	39260	43220
476	39326	43119
477	39407	43034
478	39450	42909
479	39515	42807
480	39563	42689
481	39629	42589
482	39717	42513
483	39813	42445
484	39870	42336
485	39920	42219
486	39971	42105
487	40023	41992
488	40072	41875
489	40124	41761
490	40167	41640
491	40235	41543
492	40277	41421
493	40349	41329
494	40450	41267
495	40495	41148
496	40554	41044
497	40629	40955
498	40671	40834
499	40791	40791
500	40878	40715
501	41053	40726
502	41109	40618
503	41179	40526
504	41250	40433
505	41298	40318
506	41417	40274
507	41529	40221
508	41609	40137
509	41719	40083
510	41757	39959
511	41802	39842
512	41918	39794
513	42039	39749
514	42148	39693
515	42187	39571
516	42247	39469
517	42314	39373
518	42355	39254
519	42415	39152
520	42537	39108
521	42621	39028
522	42710	38953
523	42817	38895
524	43040	38941
525	43157	38890
526	43211	38784
527	43258	38670
528	43307	38559
529	43385	38473
530	43428	38357
531	43486	38255
532	43534	38143
533	43610	38057
534	43716	37996
535	43774	37893
536	43833	37793
537	43871	37674
538	44131	37745
539	44315	37750
540	44369	37644
541	44429	37543
542	44475	37431
543	44625	37406
544	44694	37313
545	44742	37203
546	44819	37117
547	44893	37028
548	45031	36993
549	45101	36901
550	45171	36809
551	45255	36728
552	45328	36639
553	45365	36521
554	45466	36455
555	45514	36346
556	45578	36249
557	45642	36154
558	45722	36071
559	45809	35993
560	45897	35916
561	45945	35808
562	46005	35709
563	46050	35599
564	46103	35495
565	46197	35423
566	46244	35315
567	46341	35245
568	46400	35147
569	46455	35045
570	46519	34950
571	46570	34846
572	46635	34753
573	46728	34679
574	46802	34593
575	46892	34518
576	46971	34435
577	47044	34347
578	47097	34245
579	47144	34139
580	47184	34028
581	47252	33937
582	47324	33849
583	47416	33776
584	47482	33684
585	47567	33605
586	47661	33533
587	47781	33479
588	47859	33396
589	47937	33312
590	48024	33235
591	48158	33190
592	48236	33106
593	48288	33005
594	48353	32912
595	48389	32801
596	48440	32699
597	48506	32608
598	48567	32513
599	48636	32424
600	48695	32328
601	48773	32245
602	48843	32157
603	48921	32074
604	48989	31984
605	49036	31881
606	49087	31781
607	49172	31703
608	49229	31607
609	49311	31526
610	49418	31462
611	49584	31436
612	49745	31405
613	49922	31384
614	50008	31306
615	50137	31254
616	50182	31150
617	50243	31056
618	50287	30952
619	50388	30883
620	50443	30786
621	50499	30689
622	50586	30611
623	50697	30548
624	50852	30511
625	50918	30420
626	51039	30363
627	51148	30298
628	51263	30236
629	51295	30125
630	51329	30016
631	51368	29910
632	51413	29808
633	51475	29716
634	51555	29634
635	51616	29541
636	51688	29455
637	51739	29356
638	51818	29274
639	51868	29175
640	51962	29102
641	52164	29088
642	52205	28985
643	52255	28886
644	52301	28786
645	52351	28688
646	52406	28592
647	52479	28507
648	52568	28430
649	52633	28341
650	52673	28238
651	52753	28156
652	52806	28061
653	52885	27979
654	53060	27947
655	53140	27866
656	53267	27809
657	53319	27713
658	53384	27623
659	53427	27523
660	53503	27439
661	53559	27346
662	53630	27260
663	53736	27191
664	53777	27091
665	53893	27027
666	54003	26961
667	54083	26879
668	54218	26825
669	54343	26766
670	54450	26697
671	54516	26609
672	54604	26531
673	54702	26458
674	54749	26360
675	54845	26286
676	54953	26218
677	55001	26121
678	55062	26030
679	55125	25941
680	55185	25850
681	55228	25751
682	55277	25655
683	55331	25562
684	55429	25489
685	55476	25392
686	55536	25302
687	55616	25221
688	55672	25129
689	55723	25035
690	55773	24940
691	55876	24869
692	56029	24821
693	56075	24725
694	56162	24647
695	56225	24558
696	56302	24475
697	56362	24386
698	56425	24297
699	56534	24228
700	56636	24157
701	56689	24064
702	56871	24027
703	56919	23931
704	56981	23843
705	57242	23837
706	57361	23772
707	57479	23706
708	57664	23667
709	57737	23583
710	57810	23498
711	57849	23399
712	57900	23306
713	57982	23225
714	58066	23145
715	58147	23064
716	58195	22969
717	58246	22876
718	58312	22789
719	58448	22729
720	58516	22643
721	58595	22561
722	58637	22465
723	58691	22374
724	58753	22285
725	58830	22203
726	58878	22109
727	58928	22017
728	59032	21944
729	59078	21850
730	59139	21762
731	59178	21666
732	59245	21580
733	59293	21487
734	59362	21402
735	59482	21335
736	59543	21248
737	59609	21162
738	59660	21070
739	59718	20982
740	59782	20895
741	59829	20803
742	59891	20716
743	59968	20634
744	60025	20545
745	60124	20471
746	60244	20404
747	60347	20330
748	60425	20249
749	60482	20160
750	60558	20078
751	60720	20024
752	60782	19938
753	60871	19859
754	60926	19770
755	60972	19678
756	61026	19589
757	61066	19496
758	61282	19458
759	61506	19422
760	61619	19352
761	61693	19269
762	61834	19206
763	61945	19134
764	62020	19052
765	62163	18989
766	62237	18906
767	62301	18820
768	62363	18733
769	62418	18644
770	62466	18553
771	62562	18477
772	62599	18382
773	62649	18292
774	62691	18200
775	62754	18114
776	62812	18027
777	62862	17937
778	62939	17855
779	62987	17765
780	63030	17674
781	63119	17596
782	63181	17509
783	63283	17435
784	63351	17350
785	63402	17262
786	63499	17186
787	63657	17126
788	63715	17039
789	63853	16973
790	63901	16884
791	63954	16796
792	64084	16728
793	64152	16643
794	64229	16562
795	64291	16476
796	64344	16388
797	64412	16304
798	64547	16237
799	64675	16168
800	64764	16089
801	64834	16006
802	64883	15917
803	64964	15837
804	65023	15750
805	65102	15669
806	65186	15589
807	65254	15505
808	65307	15418
809	65359	15331
810	65615	15291
811	65756	15224
812	65848	15145
813	65919	15062
814	66013	14984
815	66100	14905
816	66200	14828
817	66289	14749
818	66338	14660
819	66431	14582
820	66509	14500
821	66601	14422
822	66656	14335
823	66721	14251
824	66812	14172
825	66990	14111
826	67122	14041
827	67189	13957
828	67277	13877
829	67332	13790
830	67487	13724
831	67704	13671
832	67775	13587
833	67838	13502
834	67938	13425
835	68089	13357
836	68134	13268
837	68204	13185
838	68263	13099
839	68360	13021
840	68413	12934
841	68451	12844
842	68563	12769
843	68626	12684
844	68757	12612
845	68795	12523
846	68940	12453
847	69083	12382
848	69191	12306
849	69335	12235
850	69383	12148
851	69449	12063
852	69498	11976
853	69565	11892
854	69643	11810
855	69736	11731
856	69834	11652
857	69939	11575
858	70012	11492
859	70057	11404
860	70101	11317
861	70265	11249
862	70370	11171
863	70440	11087
864	70503	11003
865	70557	10917
866	70649	10837
867	70691	10750
868	70738	10663
869	70796	10578
870	70831	10490
871	70899	10407
872	71039	10334
873	71112	10251
874	71149	10164
875	71213	10080
876	71312	10001
877	71365	9916
878	71522	9845
879	71594	9762
880	71691	9683
881	71857	9613
882	72037	9545
883	72149	9467
884	72194	9381
885	72514	9330
886	72638	9253
887	72688	9167
888	72782	9087
889	72875	9007
890	72954	8924
891	73000	8838
892	73055	8753
893	73199	8679
894	73250	8593
895	73292	8507
896	73451	8434
897	73495	8348
898	73705	8280
899	73913	8212
900	73956	8126
901	73999	8039
902	74065	7956
903	74133	7872
904	74239	7793
905	74300	7708
906	74362	7624
907	74461	7544
908	74528	7461
909	74632	7381
910	74710	7298
911	74818	7219
912	74898	7137
913	75017	7058
914	75199	6985
915	75258	6901
916	75365	6821
917	75414	6736
918	75470	6651
919	75562	6570
920	75613	6485
921	75662	6400
922	75735	6318
923	75874	6240
924	75937	6157
925	76036	6076
926	76102	5992
927	76143	5907
928	76214	5824
929	76285	5741
930	76358	5659
931	76430	5576
932	76475	5491
933	76519	5407
934	76559	5322
935	76666	5242
936	76724	5158
937	76795	5076
938	76840	4991
939	76927	4910
940	76978	4826
941	77025	4742
942	77088	4659
943	77140	4576
944	77203	4493
945	77254	4409
946	77355	4329
947	77438	4247
948	77531	4166
949	77599	4084
950	77689	4002
951	77765	3920
952	77811	3837
953	77931	3757
954	78005	3675
955	78078	3593
956	78131	3510
957	78185	3427
958	78251	3345
959	78324	3263
960	78399	3181
961	78456	3099
962	78525	3017
963	78583	2934
964	78646	2852
965	78688	2769
966	78762	2687
967	78800	2604
968	78849	2522
969	78901	2440
970	78951	2357
971	79078	2277
972	79249	2199
973	79324	2117
974	79440	2036
975	79555	1956
976	79620	1874
977	79833	1795
978	79955	1715
979	79991	1632
980	80043	1550
981	80089	1468
982	80193	1386
983	80237	1304
984	80340	1223
985	80437	1142
986	80529	1060
987	80608	979
988	80737	897
989	80866	816
990	80987	735
991	81039	653
992	81088	571
993	81142	489
994	81223	408
995	81289	326
996	81348	244
997	81399	163
998	81460	81
999	81522	0
