driver,lap_number,compound,track_status,lap_time,position,gap_to_leader,final_position,pit_stop_count,speed_avg,throttle_pct,brake_pct,drs_pct,gear_avg,hard_brakes
VER,1.0,MEDIUM,124,77.639,1.0,3785.095,1.0,4,196.71180555555554,0.5625,0.2048611111111111,1.0,4.732638888888889,0
VER,2.0,MEDIUM,4,115.479,1.0,3900.574,1.0,4,131.70842824601365,0.08656036446469248,0.2938496583143508,1.0,2.9453302961275627,0
VER,3.0,MEDIUM,41,124.721,1.0,4025.295,1.0,4,123.43290043290044,0.2012987012987013,0.22077922077922077,1.0,2.7532467532467533,0
VER,4.0,MEDIUM,1,69.691,1.0,4094.986,1.0,4,222.164,0.672,0.148,1.0,5.48,0
VER,5.0,MEDIUM,1,70.026,1.0,4165.012,1.0,4,221.13846153846154,0.6538461538461539,0.18076923076923077,0.9961538461538462,5.5807692307692305,0
VER,6.0,MEDIUM,1,70.156,1.0,4235.168,1.0,4,220.70498084291188,0.6551724137931034,0.18773946360153257,0.0,5.494252873563219,0
VER,7.0,MEDIUM,1,70.168,1.0,4305.336,1.0,4,222.72413793103448,0.6551724137931034,0.19540229885057472,0.0,5.551724137931035,0
VER,8.0,MEDIUM,1,69.967,1.0,4375.303,1.0,4,219.9358490566038,0.6490566037735849,0.17358490566037735,0.0,5.520754716981132,0
VER,9.0,MEDIUM,1,69.989,1.0,4445.292,1.0,4,222.19157088122606,0.6475095785440613,0.1685823754789272,0.0,5.57088122605364,0
VER,10.0,MEDIUM,1,69.856,1.0,4515.148,1.0,4,220.15769230769232,0.6615384615384615,0.16923076923076924,0.0,5.515384615384615,0
VER,11.0,MEDIUM,1,70.051,1.0,4585.199,1.0,4,216.90079365079364,0.626984126984127,0.1865079365079365,0.0,5.4563492063492065,0
VER,12.0,MEDIUM,1,69.833,1.0,4655.032,1.0,4,221.084,0.644,0.184,0.0,5.596,0
VER,13.0,MEDIUM,12,70.196,1.0,4725.228,1.0,4,219.3882783882784,0.63003663003663,0.17582417582417584,0.0,5.5787545787545785,0
VER,14.0,MEDIUM,26,73.573,1.0,4798.801,1.0,4,209.54873646209387,0.5379061371841155,0.22743682310469315,0.09747292418772563,5.249097472924188,0
VER,15.0,MEDIUM,6,93.592,1.0,4892.393,1.0,4,163.8728813559322,0.3389830508474576,0.2853107344632768,1.0,3.824858757062147,0
VER,16.0,MEDIUM,671,79.611,1.0,4972.004,1.0,4,194.58922558922558,0.45791245791245794,0.23905723905723905,0.5050505050505051,4.767676767676767,0
VER,17.0,MEDIUM,1,69.924,1.0,5041.928,1.0,4,219.5076923076923,0.6153846153846154,0.17692307692307693,0.0,5.496153846153846,0
VER,18.0,MEDIUM,1,70.002,1.0,5111.93,1.0,4,221.1137254901961,0.6509803921568628,0.17647058823529413,0.0,5.556862745098039,0
VER,19.0,MEDIUM,1,69.942,1.0,5181.872,1.0,4,221.19291338582678,0.6259842519685039,0.19291338582677164,0.0,5.578740157480315,0
VER,20.0,MEDIUM,1,70.16,1.0,5252.032,1.0,4,219.6818181818182,0.6363636363636364,0.17424242424242425,0.0,5.526515151515151,0
VER,21.0,MEDIUM,1,70.142,1.0,5322.174,1.0,4,219.24436090225564,0.631578947368421,0.19172932330827067,0.0,5.537593984962406,0
VER,22.0,MEDIUM,1,70.337,1.0,5392.511,1.0,4,220.21481481481482,0.6074074074074074,0.1925925925925926,0.0,5.555555555555555,0
VER,23.0,MEDIUM,1,70.396,1.0,5462.907,1.0,4,218.82783882783883,0.6190476190476191,0.17582417582417584,0.0,5.531135531135531,0
VER,24.0,MEDIUM,1,73.519,1.0,5536.426,1.0,4,206.83695652173913,0.5833333333333334,0.2028985507246377,0.0,5.181159420289855,0
VER,25.0,HARD,1,86.769,3.0,5623.195,1.0,4,176.70731707317074,0.47560975609756095,0.22560975609756098,0.16158536585365854,4.3689024390243905,0
VER,26.0,HARD,1,68.929,2.0,5692.124,1.0,4,224.1769230769231,0.65,0.21923076923076923,0.3346153846153846,5.65,0
