driver,lap_number,compound,track_status,lap_time,position,gap_to_leader,final_position,pit_stop_count,speed_avg,throttle_pct,brake_pct,drs_pct,gear_avg,hard_brakes
VER,1.0,MEDIUM,12,110.456,2.0,3892.457,2.0,1,190.72355769230768,0.5697115384615384,0.20192307692307693,1.0,4.740384615384615,0
VER,2.0,MEDIUM,1,107.707,2.0,4000.164,2.0,1,200.5568720379147,0.5710900473933649,0.22748815165876776,0.9976303317535545,4.997630331753554,0
VER,3.0,MEDIUM,1,107.677,1.0,4107.841,2.0,1,199.47014925373134,0.5597014925373134,0.23134328358208955,0.1517412935323383,5.002487562189055,0
VER,4.0,MEDIUM,1,107.108,1.0,4214.949,2.0,1,200.6825,0.5875,0.23,0.0075,4.9425,0
VER,5.0,MEDIUM,1,107.476,1.0,4322.425,2.0,1,198.32125603864733,0.5772946859903382,0.22946859903381642,0.0,4.975845410628019,0
VER,6.0,MEDIUM,1,107.202,1.0,4429.627,2.0,1,197.92518703241896,0.5785536159600998,0.22443890274314215,0.0,4.8802992518703245,0
VER,7.0,MEDIUM,1,106.995,1.0,4536.622,2.0,1,202.6575682382134,0.5955334987593052,0.2109181141439206,0.0,5.0496277915632755,0
VER,8.0,MEDIUM,1,106.801,1.0,4643.423,2.0,1,200.9234693877551,0.5867346938775511,0.21428571428571427,0.0,4.99234693877551,0
VER,9.0,MEDIUM,1,106.944,1.0,4750.367,2.0,1,198.33915211970074,0.5785536159600998,0.2344139650872818,0.0,4.9351620947630925,0
VER,10.0,MEDIUM,12,110.778,3.0,4861.145,2.0,1,193.61985472154964,0.559322033898305,0.23002421307506055,0.0,4.806295399515738,0
VER,11.0,HARD,24,,7.0,5024.555,2.0,1,130.90894568690095,0.06549520766773163,0.23482428115015974,0.8690095846645367,3.027156549520767,0
VER,12.0,HARD,4,,3.0,5178.782,2.0,1,139.21428571428572,0.2425249169435216,0.2823920265780731,1.0,3.132890365448505,0
VER,13.0,HARD,41,,3.0,5342.966,2.0,1,130.79337539432177,0.21293375394321767,0.2949526813880126,1.0,2.832807570977918,0
VER,14.0,HARD,1,106.936,2.0,5449.902,2.0,1,199.51898734177215,0.5670886075949367,0.2379746835443038,1.0,4.9670886075949365,0
VER,15.0,HARD,1,105.687,2.0,5555.589,2.0,1,201.7286063569682,0.5819070904645477,0.22982885085574573,1.0,5.012224938875305,0
VER,16.0,HARD,1,105.497,2.0,5661.086,2.0,1,202.30392156862746,0.5808823529411765,0.22549019607843138,0.0,5.046568627450981,0
VER,17.0,HARD,12,105.498,2.0,5766.584,2.0,1,203.10327455919395,0.5793450881612091,0.22418136020151133,0.0,5.045340050377834,0
VER,18.0,HARD,1,105.425,2.0,5872.009,2.0,1,199.7627551020408,0.5663265306122449,0.23469387755102042,0.0,4.923469387755102,0
VER,19.0,HARD,1,105.66,2.0,5977.669,2.0,1,201.58145363408522,0.5764411027568922,0.22055137844611528,0.0,5.012531328320802,0
VER,20.0,HARD,1,105.446,2.0,6083.115,2.0,1,200.79899497487438,0.5778894472361809,0.22110552763819097,0.0,4.942211055276382,0
VER,21.0,HARD,1,105.793,2.0,6188.908,2.0,1,200.22084367245657,0.5806451612903226,0.228287841191067,0.0,4.955334987593052,0
VER,22.0,HARD,1,105.67,2.0,6294.578,2.0,1,204.9471032745592,0.5818639798488665,0.2216624685138539,0.0,5.075566750629723,0
VER,23.0,HARD,1,105.902,2.0,6400.48,2.0,1,202.9575,0.6025,0.205,0.0,5.0375,0
VER,24.0,HARD,1,105.738,2.0,6506.218,2.0,1,204.31218274111674,0.5939086294416244,0.233502538071066,0.0,5.0786802030456855,0
VER,25.0,HARD,1,105.657,2.0,6611.875,2.0,1,203.0,0.5870646766169154,0.21641791044776118,0.0,5.079601990049751,0
VER,26.0,HARD,1,105.855,2.0,6717.73,2.0,1,202.83,0.5875,0.2,0.0,5.035,0
VER,27.0,HARD,1,105.625,2.0,6823.355,2.0,1,202.35539215686273,0.5784313725490197,0.23284313725490197,0.0,5.0931372549019605,0
VER,28.0,HARD,1,105.694,2.0,6929.049,2.0,1,202.38369304556355,0.5779376498800959,0.2158273381294964,0.0,5.081534772182255,0
VER,29.0,HARD,1,106.365,2.0,7035.414,2.0,1,202.61323155216286,0.5725190839694656,0.21882951653944022,0.0,5.0458015267175576,0
VER,30.0,HARD,1,105.575,2.0,7140.989,2.0,1,201.31683168316832,0.5816831683168316,0.22277227722772278,0.0,4.99009900990099,0
VER,31.0,HARD,1,105.348,2.0,7246.337,2.0,1,202.78092783505156,0.5927835051546392,0.2036082474226804,0.0,5.038659793814433,0
VER,32.0,HARD,1,105.354,2.0,7351.691,2.0,1,201.4795918367347,0.5867346938775511,0.2193877551020408,0.0,5.035714285714286,0
VER,33.0,HARD,1,105.343,2.0,7457.034,2.0,1,202.4300254452926,0.5750636132315522,0.21119592875318066,0.0,5.048346055979644,0
VER,34.0,HARD,1,105.218,2.0,7562.252,2.0,1,201.98223350253807,0.5888324873096447,0.21573604060913706,0.0,5.038071065989848,0
VER,35.0,HARD,1,105.121,2.0,7667.373,2.0,1,202.8140703517588,0.5678391959798995,0.23869346733668342,0.0,5.092964824120603,0
VER,36.0,HARD,1,105.05,2.0,7772.423,2.0,1,203.4641975308642,0.5975308641975309,0.21481481481481482,0.0,5.064197530864197,0
VER,37.0,HARD,1,105.319,2.0,7877.742,2.0,1,202.0,0.5820512820512821,0.21025641025641026,0.0,5.061538461538461,0
VER,38.0,HARD,1,105.474,2.0,7983.216,2.0,1,201.29145728643215,0.5804020100502513,0.1984924623115578,0.0,5.047738693467337,0
VER,39.0,HARD,1,105.15,2.0,8088.366,2.0,1,201.0708661417323,0.5905511811023622,0.2073490813648294,0.0,5.0498687664042,0
VER,40.0,HARD,1,105.418,2.0,8193.784,2.0,1,202.52061855670104,0.5824742268041238,0.20618556701030927,0.0,5.128865979381444,0
VER,41.0,HARD,1,105.123,2.0,8298.907,2.0,1,200.57512953367876,0.5906735751295337,0.22020725388601037,0.0,5.036269430051814,0
VER,42.0,HARD,1,105.15,2.0,8404.057,2.0,1,203.2247474747475,0.6035353535353535,0.20959595959595959,0.0,5.093434343434343,0
VER,43.0,HARD,1,104.843,2.0,8508.9,2.0,1,202.99240506329113,0.5848101265822785,0.20759493670886076,0.07848101265822785,5.048101265822785,0
VER,44.0,HARD,1,105.275,2.0,8614.175,2.0,1,200.15128205128204,0.5871794871794872,0.2205128205128205,0.007692307692307693,4.961538461538462,0
VER,45.0,HARD,1,105.14,2.0,8719.315,2.0,1,204.18882978723406,0.5851063829787234,0.21808510638297873,0.0,5.10904255319149,0
VER,46.0,HARD,1,104.686,2.0,8824.001,2.0,1,203.89514066496164,0.5959079283887468,0.21227621483375958,0.0,5.051150895140665,0
VER,47.0,HARD,1,104.734,2.0,8928.735,2.0,1,202.6139896373057,0.5984455958549223,0.21761658031088082,0.0,4.987046632124352,0
VER,48.0,HARD,1,104.566,2.0,9033.301,2.0,1,202.7431421446384,0.5985037406483791,0.2119700748129676,0.0,5.012468827930174,0
VER,49.0,HARD,12,104.474,2.0,9137.775,2.0,1,202.59590792838875,0.5933503836317136,0.20460358056265984,0.0,5.025575447570333,0
VER,50.0,HARD,1,104.554,2.0,9242.329,2.0,1,203.32820512820513,0.6025641025641025,0.2205128205128205,0.0,5.0487179487179485,0
VER,51.0,HARD,1,104.232,2.0,9346.561,2.0,1,202.14177215189872,0.610126582278481,0.20506329113924052,0.0,5.015189873417722,0
GAS,1.0,MEDIUM,12,119.785,15.0,3901.786,14.0,2,179.29735682819384,0.4845814977973568,0.2643171806167401,1.0,4.072687224669603,0
GAS,2.0,MEDIUM,1,109.99,15.0,4011.776,14.0,2,192.4433962264151,0.5566037735849056,0.2358490566037736,1.0,4.504716981132075,0
GAS,3.0,MEDIUM,1,109.075,15.0,4120.851,14.0,2,196.32598039215685,0.5637254901960784,0.22303921568627452,0.15441176470588236,4.595588235294118,0
