driver,lap_number,compound,track_status,lap_time,position,gap_to_leader,final_position,pit_stop_count,speed_avg,throttle_pct,brake_pct,drs_pct,gear_avg,hard_brakes
VER,1.0,MEDIUM,12,87.912,1.0,3812.264,1.0,2,176.9483282674772,0.49544072948328266,0.2127659574468085,1.0,4.416413373860182,0
VER,2.0,MEDIUM,1,85.157,1.0,3897.421,1.0,2,184.49074074074073,0.4537037037037037,0.21296296296296297,1.0,4.719135802469136,0
VER,3.0,MEDIUM,1,85.07,1.0,3982.491,1.0,2,182.953125,0.434375,0.2125,0.428125,4.715625,0
VER,4.0,MEDIUM,1,84.542,1.0,4067.033,1.0,2,183.96026490066225,0.4470198675496689,0.2152317880794702,0.0,4.764900662251655,0
VER,5.0,MEDIUM,1,84.843,1.0,4151.876,1.0,2,184.37223974763407,0.45425867507886436,0.19873817034700317,0.0,4.794952681388013,0
VER,6.0,MEDIUM,1,84.596,1.0,4236.472,1.0,2,185.6751592356688,0.45222929936305734,0.2070063694267516,0.0,4.808917197452229,0
VER,7.0,MEDIUM,1,84.487,1.0,4320.959,1.0,2,183.90402476780187,0.4551083591331269,0.2260061919504644,0.0,4.74922600619195,0
VER,8.0,MEDIUM,1,84.509,1.0,4405.468,1.0,2,184.46129032258065,0.4483870967741935,0.21935483870967742,0.0,4.7935483870967746,0
VER,9.0,MEDIUM,1,84.437,1.0,4489.905,1.0,2,183.56782334384857,0.444794952681388,0.22397476340694006,0.0,4.763406940063091,0
VER,10.0,MEDIUM,1,84.405,1.0,4574.31,1.0,2,183.97460317460317,0.4444444444444444,0.22857142857142856,0.0,4.79047619047619,0
VER,11.0,MEDIUM,1,84.462,1.0,4658.772,1.0,2,184.35670731707316,0.4573170731707317,0.19817073170731708,0.0,4.795731707317073,0
VER,12.0,MEDIUM,1,84.306,1.0,4743.078,1.0,2,185.13650793650794,0.45396825396825397,0.2126984126984127,0.0,4.7746031746031745,0
VER,13.0,MEDIUM,1,84.355,1.0,4827.433,1.0,2,183.58116883116884,0.461038961038961,0.24025974025974026,0.0,4.720779220779221,0
VER,14.0,MEDIUM,1,84.201,1.0,4911.634,1.0,2,184.93870967741935,0.46774193548387094,0.22580645161290322,0.0,4.745161290322581,0
VER,15.0,MEDIUM,1,84.121,1.0,4995.755,1.0,2,187.69278996865205,0.45454545454545453,0.23197492163009403,0.0,4.827586206896552,0
VER,16.0,MEDIUM,1,84.373,1.0,5080.128,1.0,2,185.58255451713396,0.4423676012461059,0.2087227414330218,0.0,4.806853582554517,0
VER,17.0,MEDIUM,1,84.214,1.0,5164.342,1.0,2,184.89423076923077,0.4519230769230769,0.20833333333333334,0.0,4.772435897435898,0
VER,18.0,MEDIUM,1,84.195,1.0,5248.537,1.0,2,185.34415584415584,0.45454545454545453,0.21428571428571427,0.0,4.7727272727272725,0
VER,19.0,MEDIUM,1,84.396,1.0,5332.933,1.0,2,185.1310975609756,0.45426829268292684,0.24390243902439024,0.0,4.777439024390244,0
VER,20.0,MEDIUM,1,84.065,1.0,5416.998,1.0,2,185.68608414239483,0.459546925566343,0.21359223300970873,0.0,4.773462783171521,0
VER,21.0,MEDIUM,1,84.012,1.0,5501.01,1.0,2,186.23701298701297,0.4675324675324675,0.19480519480519481,0.0,4.779220779220779,0
VER,22.0,MEDIUM,1,84.36,1.0,5585.37,1.0,2,183.21835443037975,0.4588607594936709,0.22468354430379747,0.0,4.7405063291139244,0
VER,23.0,MEDIUM,1,87.151,1.0,5672.521,1.0,2,177.85932721712538,0.42813455657492355,0.24464831804281345,0.0,4.519877675840979,0
VER,24.0,HARD,1,102.007,1.0,5774.528,1.0,2,154.18817204301075,0.34139784946236557,0.22849462365591397,0.0,3.911290322580645,0
VER,25.0,HARD,1,83.777,1.0,5858.305,1.0,2,185.02884615384616,0.4775641025641026,0.21474358974358973,0.0,4.762820512820513,0
VER,26.0,HARD,1,83.717,1.0,5942.022,1.0,2,185.71069182389937,0.44339622641509435,0.2169811320754717,0.0,4.79874213836478,0
VER,27.0,HARD,1,83.636,1.0,6025.658,1.0,2,185.82059800664453,0.4717607973421927,0.2292358803986711,0.0,4.764119601328904,0
VER,28.0,HARD,1,83.687,1.0,6109.345,1.0,2,185.99679487179486,0.4583333333333333,0.22756410256410256,0.0,4.762820512820513,0
VER,29.0,HARD,1,83.762,1.0,6193.107,1.0,2,188.49526813880126,0.45425867507886436,0.21451104100946372,0.0,4.829652996845426,0
VER,30.0,HARD,1,83.624,1.0,6276.731,1.0,2,187.65584415584416,0.461038961038961,0.2012987012987013,0.0,4.795454545454546,0
VER,31.0,HARD,1,83.59,1.0,6360.321,1.0,2,186.0906148867314,0.45307443365695793,0.20711974110032363,0.0,4.741100323624596,0
VER,32.0,HARD,1,83.292,1.0,6443.613,1.0,2,187.94920634920635,0.47619047619047616,0.21904761904761905,0.0,4.796825396825397,0
VER,33.0,HARD,1,83.523,1.0,6527.136,1.0,2,186.2541806020067,0.4414715719063545,0.20735785953177258,0.0,4.785953177257525,0
VER,34.0,HARD,1,83.507,1.0,6610.643,1.0,2,185.46905537459284,0.44299674267100975,0.2247557003257329,0.0,4.785016286644951,0
VER,35.0,HARD,1,83.489,1.0,6694.132,1.0,2,187.45047923322684,0.46006389776357826,0.2012779552715655,0.0,4.827476038338658,0
VER,36.0,HARD,1,83.285,1.0,6777.417,1.0,2,185.79365079365078,0.4603174603174603,0.2126984126984127,0.0,4.723809523809524,0
VER,37.0,HARD,1,83.25,1.0,6860.667,1.0,2,187.51973684210526,0.48355263157894735,0.19407894736842105,0.0,4.848684210526316,0
VER,38.0,HARD,1,83.47,1.0,6944.137,1.0,2,188.0261437908497,0.46078431372549017,0.22875816993464052,0.0,4.787581699346405,0
VER,39.0,HARD,1,84.143,1.0,7028.28,1.0,2,185.39016393442623,0.4721311475409836,0.20655737704918034,0.0,4.849180327868853,0
VER,40.0,HARD,1,83.705,1.0,7111.985,1.0,2,186.30696202531647,0.4810126582278481,0.2088607594936709,0.05063291139240506,4.810126582278481,0
VER,41.0,HARD,1,83.023,1.0,7195.008,1.0,2,189.9752321981424,0.4674922600619195,0.21981424148606812,0.19504643962848298,4.879256965944273,0
VER,42.0,HARD,1,83.309,1.0,7278.317,1.0,2,186.2811501597444,0.4952076677316294,0.20766773162939298,0.0,4.814696485623003,0
VER,43.0,HARD,1,83.338,1.0,7361.655,1.0,2,186.343949044586,0.47770700636942676,0.20063694267515925,0.0,4.767515923566879,0
VER,44.0,HARD,1,83.772,1.0,7445.427,1.0,2,187.48888888888888,0.46984126984126984,0.2126984126984127,0.0,4.844444444444444,0
VER,45.0,HARD,1,83.93,1.0,7529.357,1.0,2,185.20065789473685,0.4506578947368421,0.23355263157894737,0.0,4.802631578947368,0
VER,46.0,HARD,1,83.639,1.0,7612.996,1.0,2,187.87936507936507,0.47619047619047616,0.21587301587301588,0.0,4.834920634920635,0
VER,47.0,HARD,1,83.608,1.0,7696.604,1.0,2,185.15076923076924,0.4676923076923077,0.19384615384615383,0.0,4.8,0
VER,48.0,HARD,1,83.487,1.0,7780.091,1.0,2,187.28896103896105,0.4448051948051948,0.22402597402597402,0.0,4.818181818181818,0
VER,49.0,HARD,1,83.822,1.0,7863.913,1.0,2,185.88535031847132,0.4554140127388535,0.21656050955414013,0.0,4.764331210191083,0
VER,50.0,HARD,1,83.782,1.0,7947.695,1.0,2,184.69281045751634,0.45751633986928103,0.19934640522875818,0.0,4.781045751633987,0
VER,51.0,HARD,1,86.21,1.0,8033.905,1.0,2,181.97826086956522,0.42857142857142855,0.2236024844720497,0.0,4.717391304347826,0
VER,52.0,MEDIUM,1,102.723,1.0,8136.628,1.0,2,151.4353562005277,0.33509234828496043,0.20316622691292877,0.0,3.7255936675461743,0
VER,53.0,MEDIUM,1,80.504,1.0,8217.132,1.0,2,193.14935064935065,0.5194805194805194,0.21753246753246752,0.045454545454545456,4.915584415584416,0
VER,54.0,MEDIUM,1,83.935,1.0,8301.067,1.0,2,185.9902280130293,0.4495114006514658,0.21172638436482086,0.20846905537459284,4.768729641693811,0
VER,55.0,MEDIUM,1,82.847,1.0,8383.914,1.0,2,188.79677419354837,0.47419354838709676,0.2161290322580645,0.0,4.82258064516129,0
VER,56.0,MEDIUM,1,82.6,1.0,8466.514,1.0,2,193.10738255033556,0.4899328859060403,0.20134228187919462,0.0,4.9865771812080535,0
VER,57.0,MEDIUM,1,82.425,1.0,8548.939,1.0,2,189.13029315960912,0.4755700325732899,0.18892508143322476,0.0,4.8892508143322475,0
VER,58.0,MEDIUM,1,82.65,1.0,8631.589,1.0,2,188.26602564102564,0.44871794871794873,0.23717948717948717,0.0,4.842948717948718,0
VER,59.0,MEDIUM,1,81.88,1.0,8713.469,1.0,2,191.8925081433225,0.4755700325732899,0.1986970684039088,0.0,4.957654723127036,0
VER,60.0,MEDIUM,1,81.554,1.0,8795.023,1.0,2,190.45214521452147,0.4884488448844885,0.22442244224422442,0.0,4.914191419141914,0
VER,61.0,MEDIUM,1,81.52,1.0,8876.543,1.0,2,190.15673981191222,0.4890282131661442,0.20689655172413793,0.0,4.956112852664577,0
VER,62.0,MEDIUM,1,81.693,1.0,8958.236,1.0,2,191.58709677419355,0.49032258064516127,0.2129032258064516,0.0,4.945161290322581,0
VER,63.0,MEDIUM,1,81.772,1.0,9040.008,1.0,2,192.54632587859425,0.5143769968051118,0.20766773162939298,0.0,5.012779552715655,0
VER,64.0,MEDIUM,1,82.122,1.0,9122.13,1.0,2,191.15359477124184,0.48366013071895425,0.19934640522875818,0.0,4.990196078431373,0
VER,65.0,MEDIUM,1,82.223,1.0,9204.353,1.0,2,189.05750798722045,0.4696485623003195,0.22364217252396165,0.0,4.980830670926518,0
VER,66.0,MEDIUM,1,81.941,1.0,9286.294,1.0,2,190.68051118210863,0.48881789137380194,0.21725239616613418,0.0,4.945686900958466,0
VER,67.0,MEDIUM,1,81.754,1.0,9368.048,1.0,2,191.13548387096773,0.49032258064516127,0.2,0.0,4.987096774193549,0
VER,68.0,MEDIUM,1,81.524,1.0,9449.572,1.0,2,190.67857142857142,0.4902597402597403,0.21753246753246752,0.0,4.970779220779221,0
VER,69.0,MEDIUM,12,81.18,1.0,9530.752,1.0,2,192.0327868852459,0.49836065573770494,0.21311475409836064,0.0,5.0,0
VER,70.0,MEDIUM,1,82.234,1.0,9612.986,1.0,2,190.14,0.4766666666666667,0.21666666666666667,0.0,4.953333333333333,0
NOR,1.0,MEDIUM,12,89.901,3.0,3814.253,2.0,2,174.01483679525222,0.456973293768546,0.2314540059347181,1.0,4.118694362017804,0
NOR,2.0,MEDIUM,1,85.82,3.0,3900.073,2.0,2,182.59509202453987,0.4447852760736196,0.22085889570552147,1.0,4.4815950920245395,0
NOR,3.0,MEDIUM,1,85.205,3.0,3985.278,2.0,2,183.93103448275863,0.47648902821316613,0.23510971786833856,0.3981191222570533,4.517241379310345,0
NOR,4.0,MEDIUM,1,84.794,3.0,4070.072,2.0,2,184.61513157894737,0.47039473684210525,0.23684210526315788,0.0,4.529605263157895,0
NOR,5.0,MEDIUM,1,84.893,3.0,4154.965,2.0,2,184.22712933753942,0.48264984227129337,0.21451104100946372,0.0,4.55205047318612,0
NOR,6.0,MEDIUM,1,84.826,3.0,4239.791,2.0,2,184.41587301587302,0.47619047619047616,0.22857142857142856,0.0,4.546031746031746,0
