driver,lap_number,compound,track_status,lap_time,position,gap_to_leader,final_position,pit_stop_count,speed_avg,throttle_pct,brake_pct,drs_pct,gear_avg,hard_brakes
VER,1.0,MEDIUM,124,120.179,1.0,3904.229,1.0,2,162.75877192982455,0.3048245614035088,0.16447368421052633,1.0,4.043859649122807,0
VER,2.0,MEDIUM,4,,1.0,4068.591,1.0,2,126.15833333333333,0.1,0.24666666666666667,1.0,2.9283333333333332,0
VER,3.0,MEDIUM,4,,1.0,4233.919,1.0,2,126.32899022801303,0.13843648208469056,0.16775244299674266,1.0,2.936482084690554,0
VER,4.0,MEDIUM,41,,1.0,4409.577,1.0,2,118.2793893129771,0.16793893129770993,0.1648854961832061,1.0,2.651908396946565,0
VER,5.0,MEDIUM,1,96.748,1.0,4506.325,1.0,2,216.62952646239555,0.5376044568245125,0.15598885793871867,1.0,5.632311977715878,0
VER,6.0,MEDIUM,1,97.837,1.0,4604.162,1.0,2,213.356940509915,0.5212464589235127,0.17847025495750707,1.0,5.611898016997167,0
VER,7.0,MEDIUM,1,98.033,1.0,4702.195,1.0,2,210.79775280898878,0.5056179775280899,0.1853932584269663,0.14887640449438203,5.561797752808989,0
VER,8.0,MEDIUM,1,98.148,1.0,4800.343,1.0,2,209.77472527472528,0.5027472527472527,0.17032967032967034,0.0,5.538461538461538,0
VER,9.0,MEDIUM,1,98.241,1.0,4898.584,1.0,2,210.45901639344262,0.4918032786885246,0.1830601092896175,0.0,5.543715846994536,0
VER,10.0,MEDIUM,1,98.301,1.0,4996.885,1.0,2,211.3972602739726,0.5205479452054794,0.14246575342465753,0.0,5.545205479452055,0
VER,11.0,MEDIUM,1,98.519,1.0,5095.404,1.0,2,210.420054200542,0.5094850948509485,0.17886178861788618,0.0,5.596205962059621,0
VER,12.0,MEDIUM,12,98.651,1.0,5194.055,1.0,2,211.44289693593313,0.5181058495821727,0.1671309192200557,0.0,5.576601671309192,0
VER,13.0,MEDIUM,1,98.689,1.0,5292.744,1.0,2,210.44535519125682,0.5136612021857924,0.20491803278688525,0.0,5.521857923497268,0
VER,14.0,MEDIUM,167,119.754,1.0,5412.498,1.0,2,172.90222222222224,0.32222222222222224,0.20666666666666667,0.6955555555555556,4.32,0
VER,15.0,MEDIUM,1,98.373,1.0,5510.871,1.0,2,210.625,0.5055555555555555,0.19444444444444445,0.0,5.561111111111111,0
VER,16.0,MEDIUM,1,101.172,1.0,5612.043,1.0,2,202.76566757493188,0.46321525885558584,0.20435967302452315,0.0,5.367847411444142,0
VER,17.0,MEDIUM,1,118.025,5.0,5730.068,1.0,2,177.28341013824885,0.4032258064516129,0.1889400921658986,0.0,4.629032258064516,0
VER,18.0,MEDIUM,1,97.399,3.0,5827.467,1.0,2,215.2159090909091,0.5142045454545454,0.16193181818181818,0.0,5.65625,0
