driver,lap_number,compound,track_status,lap_time,position,gap_to_leader,final_position,pit_stop_count,speed_avg,throttle_pct,brake_pct,drs_pct,gear_avg,hard_brakes
VER,1.0,MEDIUM,126,105.67,1.0,948.731,1.0,2,205.38095238095238,0.5664160401002506,0.20050125313283207,1.0,5.142857142857143,0
VER,2.0,MEDIUM,671,133.011,1.0,1081.742,1.0,2,165.70468431771894,0.2769857433808554,0.2505091649694501,1.0,3.8533604887983706,0
VER,3.0,MEDIUM,124,109.988,1.0,1191.73,1.0,2,204.46376811594203,0.4758454106280193,0.2028985507246377,0.5676328502415459,5.270531400966184,0
VER,4.0,MEDIUM,4,,1.0,1377.526,1.0,2,118.70821529745042,0.08498583569405099,0.20679886685552407,1.0,2.7691218130311617,0
VER,5.0,MEDIUM,4,,1.0,1545.176,1.0,2,132.8188976377953,0.1921259842519685,0.3354330708661417,1.0,3.0708661417322833,0
VER,6.0,MEDIUM,41,,1.0,1706.574,1.0,2,138.9451827242525,0.21926910299003322,0.313953488372093,1.0,3.3438538205980066,0
VER,7.0,MEDIUM,1,100.785,1.0,1807.359,1.0,2,219.4621409921671,0.6109660574412533,0.18798955613577023,1.0,5.634464751958225,0
VER,8.0,MEDIUM,1,100.142,1.0,1907.501,1.0,2,220.84675324675325,0.5922077922077922,0.18441558441558442,0.9974025974025974,5.685714285714286,0
VER,9.0,MEDIUM,1,99.669,1.0,2007.17,1.0,2,219.48907103825135,0.6065573770491803,0.18579234972677597,0.0,5.620218579234972,0
VER,10.0,MEDIUM,1,99.484,1.0,2106.654,1.0,2,222.26829268292684,0.5962059620596206,0.1842818428184282,0.0,5.7046070460704605,0
VER,11.0,MEDIUM,1,98.763,1.0,2205.417,1.0,2,223.33858267716536,0.6299212598425197,0.1837270341207349,0.0,5.724409448818897,0
VER,12.0,MEDIUM,1,98.773,1.0,2304.19,1.0,2,223.024064171123,0.6256684491978609,0.18181818181818182,0.0,5.729946524064171,0
VER,13.0,MEDIUM,1,98.759,1.0,2402.949,1.0,2,225.13333333333333,0.632,0.19733333333333333,0.0,5.792,0
VER,14.0,MEDIUM,12,98.942,1.0,2501.891,1.0,2,221.66318537859007,0.6214099216710183,0.185378590078329,0.0,5.650130548302872,0
VER,15.0,MEDIUM,1,99.477,1.0,2601.368,1.0,2,220.07894736842104,0.6236842105263158,0.18157894736842106,0.0,5.681578947368421,0
VER,16.0,MEDIUM,1,104.727,2.0,2706.095,1.0,2,210.54656862745097,0.5661764705882353,0.23774509803921567,0.0,5.411764705882353,0
VER,17.0,HARD,1,122.018,10.0,2828.113,1.0,2,182.72786177105831,0.47300215982721383,0.24406047516198703,0.0755939524838013,4.550755939524838,0
VER,18.0,HARD,1,98.348,9.0,2926.461,1.0,2,224.73297002724794,0.6294277929155313,0.19618528610354224,0.0,5.70299727520436,0
VER,19.0,HARD,1,98.335,9.0,3024.796,1.0,2,226.60054347826087,0.6222826086956522,0.1983695652173913,0.07880434782608696,5.728260869565218,0
VER,20.0,HARD,12,99.611,8.0,3124.407,1.0,2,223.23466666666667,0.616,0.20533333333333334,0.10133333333333333,5.658666666666667,0
VER,21.0,HARD,1,97.88,7.0,3222.287,1.0,2,226.86740331491714,0.6298342541436464,0.1878453038674033,0.0,5.790055248618785,0
VER,22.0,HARD,1,98.605,7.0,3320.892,1.0,2,225.62568306010928,0.6038251366120219,0.22404371584699453,0.08743169398907104,5.693989071038251,0
VER,23.0,HARD,1,97.988,6.0,3418.88,1.0,2,225.39071038251367,0.6038251366120219,0.2103825136612022,0.17486338797814208,5.691256830601093,0
VER,24.0,HARD,1,98.482,5.0,3517.362,1.0,2,224.005291005291,0.5714285714285714,0.23809523809523808,0.17724867724867724,5.611111111111111,0
VER,25.0,HARD,1,98.943,4.0,3616.305,1.0,2,226.05263157894737,0.6426592797783933,0.18282548476454294,0.0997229916897507,5.759002770083103,0
VER,26.0,HARD,14,113.326,4.0,3729.631,1.0,2,193.4837962962963,0.47453703703703703,0.2916666666666667,0.4236111111111111,4.863425925925926,0
VER,27.0,HARD,4,,5.0,3901.319,1.0,2,127.55692307692307,0.17076923076923076,0.2907692307692308,1.0,2.92,0
VER,28.0,HARD,41,,5.0,4064.913,1.0,2,134.83251231527095,0.23973727422003285,0.3136288998357964,1.0,3.057471264367816,0
VER,29.0,HARD,1,100.938,5.0,4165.851,1.0,2,217.34656084656083,0.5476190476190477,0.20899470899470898,1.0,5.542328042328043,0
VER,30.0,HARD,1,98.469,5.0,4264.32,1.0,2,228.048128342246,0.6229946524064172,0.20588235294117646,1.0,5.764705882352941,0
VER,31.0,HARD,1,97.748,4.0,4362.068,1.0,2,226.06849315068493,0.6136986301369863,0.2054794520547945,0.1780821917808219,5.693150684931507,0
VER,32.0,HARD,1,96.603,4.0,4458.671,1.0,2,227.8288043478261,0.6440217391304348,0.18206521739130435,0.0,5.755434782608695,0
VER,33.0,HARD,1,96.596,3.0,4555.267,1.0,2,228.3612716763006,0.6358381502890174,0.20809248554913296,0.07803468208092486,5.736994219653179,0
VER,34.0,HARD,1,96.359,3.0,4651.626,1.0,2,227.40449438202248,0.6432584269662921,0.2050561797752809,0.0,5.75,0
VER,35.0,HARD,1,96.239,3.0,4747.865,1.0,2,230.9060773480663,0.6464088397790055,0.19337016574585636,0.0,5.87292817679558,0
VER,36.0,HARD,1,96.276,2.0,4844.141,1.0,2,230.96866096866097,0.6410256410256411,0.20512820512820512,0.17094017094017094,5.837606837606837,0
VER,37.0,HARD,1,96.66,1.0,4940.801,1.0,2,229.11859838274933,0.633423180592992,0.19946091644204852,0.1778975741239892,5.765498652291105,0
VER,38.0,HARD,1,96.1,1.0,5036.901,1.0,2,232.02493074792244,0.6620498614958449,0.19113573407202217,0.0,5.889196675900277,0
VER,39.0,HARD,1,95.938,1.0,5132.839,1.0,2,231.55769230769232,0.6648351648351648,0.18956043956043955,0.0,5.884615384615385,0
VER,40.0,HARD,12,95.997,1.0,5228.836,1.0,2,232.11845730027548,0.696969696969697,0.16804407713498623,0.0,5.859504132231405,0
VER,41.0,HARD,1,95.92,1.0,5324.756,1.0,2,229.0054347826087,0.6711956521739131,0.17391304347826086,0.0,5.8478260869565215,0
VER,42.0,HARD,1,96.212,1.0,5420.968,1.0,2,229.28969359331475,0.6657381615598886,0.18662952646239556,0.0,5.83008356545961,0
VER,43.0,HARD,1,95.983,1.0,5516.951,1.0,2,229.6054054054054,0.6621621621621622,0.17567567567567569,0.0,5.832432432432433,0
VER,44.0,HARD,1,95.614,1.0,5612.565,1.0,2,231.14689265536722,0.6751412429378532,0.1553672316384181,0.0,5.872881355932203,0
VER,45.0,HARD,1,95.867,1.0,5708.432,1.0,2,230.62049861495845,0.6620498614958449,0.19113573407202217,0.0,5.883656509695291,0
VER,46.0,HARD,1,95.896,1.0,5804.328,1.0,2,230.85714285714286,0.6684636118598383,0.1778975741239892,0.0,5.8975741239892185,0
VER,47.0,HARD,12,95.879,1.0,5900.207,1.0,2,232.99719101123594,0.6769662921348315,0.17696629213483145,0.0,5.932584269662922,0
VER,48.0,HARD,12,96.497,1.0,5996.704,1.0,2,229.95316804407713,0.6694214876033058,0.17355371900826447,0.0,5.865013774104683,0
VER,49.0,HARD,1,96.95,1.0,6093.654,1.0,2,229.0909090909091,0.6418732782369146,0.162534435261708,0.0,5.8347107438016526,0
VER,50.0,HARD,1,97.637,1.0,6191.291,1.0,2,224.50267379679144,0.5989304812834224,0.18983957219251338,0.0,5.788770053475936,0
GAS,1.0,MEDIUM,126,110.543,4.0,953.604,11.0,1,199.63397129186603,0.5095693779904307,0.22488038277511962,1.0,4.744019138755981,0
GAS,2.0,MEDIUM,671,131.689,4.0,1085.293,11.0,1,168.059670781893,0.3950617283950617,0.25102880658436216,1.0,3.909465020576132,0
GAS,3.0,MEDIUM,124,110.381,4.0,1195.674,11.0,1,201.80335731414868,0.4988009592326139,0.2158273381294964,0.6139088729016786,4.889688249400479,0
GAS,4.0,MEDIUM,4,,4.0,1380.473,11.0,1,119.25677603423681,0.12268188302425106,0.23537803138373753,1.0,2.790299572039943,0
GAS,5.0,MEDIUM,4,,4.0,1548.936,11.0,1,130.95425867507888,0.17981072555205047,0.29337539432176657,1.0,3.0157728706624605,0
GAS,6.0,MEDIUM,41,,4.0,1708.742,11.0,1,138.4314381270903,0.18896321070234115,0.20735785953177258,1.0,3.290969899665552,0
GAS,7.0,MEDIUM,1,102.346,4.0,1811.088,11.0,1,217.61479591836735,0.625,0.20408163265306123,1.0,5.392857142857143,0
GAS,8.0,MEDIUM,1,100.56,4.0,1911.648,11.0,1,219.70833333333334,0.609375,0.1953125,0.9973958333333334,5.4921875,0
GAS,9.0,MEDIUM,1,99.677,4.0,2011.325,11.0,1,220.86141304347825,0.6277173913043478,0.1875,0.16576086956521738,5.529891304347826,0
GAS,10.0,MEDIUM,1,99.005,4.0,2110.33,11.0,1,226.4741144414169,0.6403269754768393,0.19346049046321526,0.1880108991825613,5.632152588555858,0
GAS,11.0,MEDIUM,1,99.446,4.0,2209.776,11.0,1,224.04166666666666,0.6380208333333334,0.19791666666666666,0.1796875,5.606770833333333,0
GAS,12.0,MEDIUM,1,99.088,4.0,2308.864,11.0,1,223.18666666666667,0.624,0.16533333333333333,0.176,5.568,0
