driver,lap_number,compound,track_status,lap_time,position,gap_to_leader,final_position,pit_stop_count,speed_avg,throttle_pct,brake_pct,drs_pct,gear_avg,hard_brakes
VER,1.0,SOFT,12,97.284,1.0,3697.489,1.0,2,189.71621621621622,0.5648648648648649,0.20810810810810812,1.0,4.727027027027027,0
VER,2.0,SOFT,1,96.296,1.0,3793.785,1.0,2,198.69565217391303,0.595108695652174,0.19293478260869565,0.03804347826086957,5.122282608695652,0
VER,3.0,SOFT,1,96.753,1.0,3890.538,1.0,2,200.08988764044943,0.550561797752809,0.20786516853932585,0.0,5.179775280898877,0
VER,4.0,SOFT,1,96.647,1.0,3987.185,1.0,2,200.8060941828255,0.5789473684210527,0.18282548476454294,0.0,5.193905817174516,0
VER,5.0,SOFT,1,97.173,1.0,4084.358,1.0,2,197.869918699187,0.5447154471544715,0.1978319783197832,0.0,5.13550135501355,0
VER,6.0,SOFT,1,97.092,1.0,4181.45,1.0,2,197.98863636363637,0.5397727272727273,0.21306818181818182,0.0,5.096590909090909,0
VER,7.0,SOFT,1,97.038,1.0,4278.488,1.0,2,197.4441416893733,0.547683923705722,0.20435967302452315,0.0,5.130790190735695,0
VER,8.0,SOFT,1,97.024,1.0,4375.512,1.0,2,199.84487534626038,0.5844875346260388,0.18559556786703602,0.0,5.177285318559557,0
VER,9.0,SOFT,1,97.229,1.0,4472.741,1.0,2,199.29362880886427,0.556786703601108,0.18559556786703602,0.0,5.1551246537396125,0
VER,10.0,SOFT,12,96.96,1.0,4569.701,1.0,2,197.53972602739725,0.5561643835616439,0.19452054794520549,0.0,5.134246575342465,0
VER,11.0,SOFT,21,97.085,1.0,4666.786,1.0,2,198.6145251396648,0.5614525139664804,0.2011173184357542,0.0,5.173184357541899,0
VER,12.0,SOFT,1,97.045,1.0,4763.831,1.0,2,198.98603351955308,0.5502793296089385,0.19832402234636873,0.0,5.187150837988827,0
VER,13.0,SOFT,1,97.03,1.0,4860.861,1.0,2,199.6042780748663,0.5775401069518716,0.18449197860962566,0.0,5.192513368983957,0
VER,14.0,SOFT,1,97.028,1.0,4957.889,1.0,2,200.71544715447155,0.5772357723577236,0.2032520325203252,0.0,5.21409214092141,0
VER,15.0,SOFT,1,97.011,1.0,5054.9,1.0,2,196.8756906077348,0.56353591160221,0.20441988950276244,0.0,5.1353591160221,0
VER,16.0,SOFT,1,97.168,1.0,5152.068,1.0,2,198.60597826086956,0.5733695652173914,0.20108695652173914,0.0,5.119565217391305,0
VER,17.0,SOFT,1,99.896,1.0,5251.964,1.0,2,191.96524064171123,0.5401069518716578,0.1925133689839572,0.0,4.981283422459893,0
