driver,lap_number,compound,track_status,lap_time,position,gap_to_leader,final_position,pit_stop_count,speed_avg,throttle_pct,brake_pct,drs_pct,gear_avg,hard_brakes
VER,1.0,MEDIUM,1,101.528,1.0,3419.963,1.0,2,183.38057742782152,0.5065616797900262,0.1889763779527559,1.0,4.745406824146982,0
VER,2.0,MEDIUM,1,100.103,1.0,3520.066,1.0,2,194.42819843342036,0.5117493472584856,0.19321148825065274,0.1122715404699739,5.070496083550914,0
VER,3.0,MEDIUM,1,100.494,1.0,3620.56,1.0,2,192.14285714285714,0.4961038961038961,0.2051948051948052,0.0,4.922077922077922,0
VER,4.0,MEDIUM,1,100.573,1.0,3721.133,1.0,2,191.88431876606683,0.5115681233933161,0.1928020565552699,0.0,4.951156812339332,0
VER,5.0,MEDIUM,1,100.919,1.0,3822.052,1.0,2,194.2539267015707,0.5130890052356021,0.20680628272251309,0.0,5.044502617801047,0
VER,6.0,MEDIUM,1,101.147,1.0,3923.199,1.0,2,189.2766497461929,0.49238578680203043,0.19796954314720813,0.0,4.908629441624366,0
VER,7.0,MEDIUM,1,101.118,1.0,4024.317,1.0,2,192.07142857142858,0.5076530612244898,0.17857142857142858,0.0,4.956632653061225,0
VER,8.0,MEDIUM,1,101.11,1.0,4125.427,1.0,2,192.35658914728683,0.5064599483204134,0.19121447028423771,0.0,4.919896640826873,0
VER,9.0,MEDIUM,1,101.155,1.0,4226.582,1.0,2,190.7172236503856,0.48586118251928023,0.20051413881748073,0.0,4.96401028277635,0
VER,10.0,MEDIUM,1,101.424,1.0,4328.006,1.0,2,191.355091383812,0.4804177545691906,0.18276762402088773,0.0,5.007832898172324,0
VER,11.0,MEDIUM,1,101.401,1.0,4429.407,1.0,2,191.4702842377261,0.4909560723514212,0.19896640826873385,0.0,4.989664082687338,0
VER,12.0,MEDIUM,1,101.318,1.0,4530.725,1.0,2,192.35449735449737,0.5264550264550265,0.164021164021164,0.0,4.941798941798941,0
VER,13.0,MEDIUM,1,106.526,1.0,4637.251,1.0,2,185.96700507614213,0.4543147208121827,0.21573604060913706,0.0,4.822335025380711,0
VER,14.0,HARD,1,119.074,3.0,4756.325,1.0,2,164.80778032036613,0.38215102974828374,0.20137299771167047,0.11670480549199085,4.148741418764302,0
VER,15.0,HARD,1,99.591,3.0,4855.916,1.0,2,194.015503875969,0.5116279069767442,0.2222222222222222,0.046511627906976744,4.976744186046512,0
VER,16.0,HARD,1,99.985,2.0,4955.901,1.0,2,192.86170212765958,0.5026595744680851,0.22074468085106383,0.05053191489361702,4.952127659574468,0
VER,17.0,HARD,1,99.519,2.0,5055.42,1.0,2,195.29658792650918,0.5328083989501312,0.19160104986876642,0.0,5.005249343832021,0
VER,18.0,HARD,1,100.07,2.0,5155.49,1.0,2,195.85013623978202,0.5149863760217984,0.1989100817438692,0.0,5.073569482288828,0
