driver,lap_number,compound,track_status,lap_time,position,gap_to_leader,final_position,pit_stop_count,speed_avg,throttle_pct,brake_pct,drs_pct,gear_avg,hard_brakes
VER,1.0,MEDIUM,1,82.881,1.0,3419.731,1.0,1,204.2156862745098,0.6176470588235294,0.21895424836601307,1.0,5.094771241830065,0
VER,2.0,MEDIUM,1,80.596,1.0,3500.327,1.0,1,218.39240506329114,0.6455696202531646,0.18670886075949367,0.14873417721518986,5.522151898734177,0
VER,3.0,MEDIUM,1,80.872,1.0,3581.199,1.0,1,215.9806451612903,0.6483870967741936,0.2032258064516129,0.0,5.451612903225806,0
VER,4.0,MEDIUM,1,80.671,1.0,3661.87,1.0,1,218.49,0.66,0.18333333333333332,0.0,5.506666666666667,0
VER,5.0,MEDIUM,1,80.734,1.0,3742.604,1.0,1,216.88993710691824,0.6540880503144654,0.1792452830188679,0.0,5.509433962264151,0
VER,6.0,MEDIUM,1,80.868,1.0,3823.472,1.0,1,216.4271844660194,0.6504854368932039,0.18122977346278318,0.0,5.501618122977346,0
VER,7.0,MEDIUM,1,80.868,1.0,3904.34,1.0,1,216.06514657980455,0.6514657980456026,0.18241042345276873,0.0,5.465798045602606,0
VER,8.0,MEDIUM,1,80.762,1.0,3985.102,1.0,1,216.58675078864354,0.6309148264984227,0.19558359621451105,0.0,5.520504731861199,0
VER,9.0,MEDIUM,1,80.543,1.0,4065.645,1.0,1,217.04697986577182,0.6241610738255033,0.2080536912751678,0.0,5.526845637583893,0
VER,10.0,MEDIUM,1,81.093,1.0,4146.738,1.0,1,217.3562091503268,0.6568627450980392,0.19934640522875818,0.0,5.545751633986928,0
VER,11.0,MEDIUM,1,80.885,1.0,4227.623,1.0,1,216.3538961038961,0.6266233766233766,0.18831168831168832,0.0,5.503246753246753,0
VER,12.0,MEDIUM,1,81.287,1.0,4308.91,1.0,1,214.56493506493507,0.6525974025974026,0.17857142857142858,0.0,5.425324675324675,0
VER,13.0,MEDIUM,1,81.073,1.0,4389.983,1.0,1,216.88745980707395,0.6527331189710611,0.1832797427652733,0.0,5.514469453376206,0
VER,14.0,MEDIUM,1,80.982,1.0,4470.965,1.0,1,213.5115511551155,0.6204620462046204,0.20462046204620463,0.0,5.445544554455446,0
VER,15.0,MEDIUM,1,81.323,1.0,4552.288,1.0,1,214.42071197411002,0.6084142394822006,0.20064724919093851,0.0,5.4789644012944985,0
VER,16.0,MEDIUM,1,81.362,1.0,4633.65,1.0,1,216.44481605351172,0.6555183946488294,0.16722408026755853,0.0,5.478260869565218,0
VER,17.0,MEDIUM,1,81.328,1.0,4714.978,1.0,1,217.23529411764707,0.6503267973856209,0.19607843137254902,0.0,5.526143790849673,0
VER,18.0,MEDIUM,1,81.411,1.0,4796.389,1.0,1,216.52750809061487,0.6440129449838188,0.18446601941747573,0.0,5.511326860841424,0
VER,19.0,MEDIUM,1,81.517,1.0,4877.906,1.0,1,216.22012578616352,0.6352201257861635,0.1792452830188679,0.0,5.5,0
VER,20.0,MEDIUM,1,81.55,1.0,4959.456,1.0,1,215.82724252491695,0.6212624584717608,0.19933554817275748,0.0,5.488372093023256,0
VER,21.0,MEDIUM,1,81.608,1.0,5041.064,1.0,1,214.32154340836013,0.6141479099678456,0.21221864951768488,0.0,5.443729903536977,0
VER,22.0,MEDIUM,1,81.763,1.0,5122.827,1.0,1,214.35691318327974,0.6334405144694534,0.18971061093247588,0.0,5.430868167202572,0
VER,23.0,MEDIUM,1,81.988,1.0,5204.815,1.0,1,214.98392282958199,0.6334405144694534,0.19292604501607716,0.0,5.466237942122186,0
VER,24.0,MEDIUM,1,86.212,1.0,5291.027,1.0,1,200.715625,0.553125,0.2125,0.0,5.09375,0
VER,25.0,HARD,1,103.602,4.0,5394.629,1.0,1,170.1362467866324,0.48586118251928023,0.19794344473007713,0.0,4.210796915167095,0
VER,26.0,HARD,1,80.482,3.0,5475.111,1.0,1,218.2065573770492,0.6327868852459017,0.21639344262295082,0.0,5.521311475409836,0
VER,27.0,HARD,1,80.943,2.0,5556.054,1.0,1,217.40514469453376,0.6270096463022508,0.19614147909967847,0.0,5.504823151125402,0
VER,28.0,HARD,1,80.709,1.0,5636.763,1.0,1,216.95424836601308,0.6339869281045751,0.18627450980392157,0.0,5.516339869281046,0
VER,29.0,HARD,1,80.615,1.0,5717.378,1.0,1,216.35785953177256,0.6086956521739131,0.2040133779264214,0.0,5.498327759197324,0
VER,30.0,HARD,1,80.571,1.0,5797.949,1.0,1,215.89710610932477,0.6237942122186495,0.21864951768488747,0.0,5.495176848874598,0
VER,31.0,HARD,1,80.545,1.0,5878.494,1.0,1,216.10610932475885,0.6237942122186495,0.21543408360128619,0.0,5.488745980707395,0
VER,32.0,HARD,1,80.713,1.0,5959.207,1.0,1,216.64309764309763,0.6397306397306397,0.2053872053872054,0.0,5.498316498316498,0
VER,33.0,HARD,1,81.141,1.0,6040.348,1.0,1,213.6290322580645,0.6161290322580645,0.1967741935483871,0.0,5.45483870967742,0
VER,34.0,HARD,1,80.76,1.0,6121.108,1.0,1,217.01324503311258,0.6291390728476821,0.18543046357615894,0.0,5.5364238410596025,0
VER,35.0,HARD,1,80.8,1.0,6201.908,1.0,1,216.56026058631923,0.6286644951140065,0.18566775244299674,0.0,5.50814332247557,0
VER,36.0,HARD,1,80.704,1.0,6282.612,1.0,1,217.80322580645162,0.6387096774193548,0.18064516129032257,0.0,5.474193548387097,0
VER,37.0,HARD,1,80.484,1.0,6363.096,1.0,1,217.86900958466452,0.6325878594249201,0.18849840255591055,0.0,5.565495207667731,0
VER,38.0,HARD,1,80.366,1.0,6443.462,1.0,1,217.93770491803278,0.6327868852459017,0.1901639344262295,0.0,5.5442622950819676,0
VER,39.0,HARD,1,80.547,1.0,6524.009,1.0,1,218.02912621359224,0.6343042071197411,0.19093851132686085,0.0,5.553398058252427,0
VER,40.0,HARD,1,80.645,1.0,6604.654,1.0,1,217.39344262295083,0.6459016393442623,0.19672131147540983,0.0,5.537704918032787,0
VER,41.0,HARD,1,80.675,1.0,6685.329,1.0,1,219.83986928104576,0.6339869281045751,0.1895424836601307,0.0,5.607843137254902,0
VER,42.0,HARD,1,80.832,1.0,6766.161,1.0,1,217.41214057507986,0.6421725239616614,0.1757188498402556,0.0,5.4888178913738015,0
VER,43.0,HARD,1,80.757,1.0,6846.918,1.0,1,214.62179487179486,0.6346153846153846,0.1955128205128205,0.0,5.423076923076923,0
VER,44.0,HARD,1,80.834,1.0,6927.752,1.0,1,217.57792207792207,0.6396103896103896,0.18506493506493507,0.0,5.545454545454546,0
VER,45.0,HARD,1,81.364,1.0,7009.116,1.0,1,214.9935064935065,0.6201298701298701,0.19155844155844157,0.18181818181818182,5.4772727272727275,0
VER,46.0,HARD,1,80.7,1.0,7089.816,1.0,1,216.04934210526315,0.6447368421052632,0.19736842105263158,0.10197368421052631,5.417763157894737,0
VER,47.0,HARD,1,80.909,1.0,7170.725,1.0,1,218.4501607717042,0.6559485530546624,0.19935691318327975,0.0,5.540192926045016,0
VER,48.0,HARD,1,80.923,1.0,7251.648,1.0,1,216.68709677419355,0.6516129032258065,0.19032258064516128,0.0,5.52258064516129,0
VER,49.0,HARD,1,80.823,1.0,7332.471,1.0,1,215.66556291390728,0.6291390728476821,0.1986754966887417,0.0,5.496688741721854,0
VER,50.0,HARD,1,80.817,1.0,7413.288,1.0,1,215.7928802588997,0.6343042071197411,0.18446601941747573,0.0,5.475728155339806,0
VER,51.0,HARD,1,80.736,1.0,7494.024,1.0,1,216.34201954397395,0.6351791530944625,0.20195439739413681,0.0,5.501628664495114,0
VER,52.0,HARD,1,80.556,1.0,7574.58,1.0,1,215.09477124183007,0.6339869281045751,0.19607843137254902,0.0,5.467320261437909,0
VER,53.0,HARD,1,80.638,1.0,7655.218,1.0,1,218.56129032258065,0.6548387096774193,0.1935483870967742,0.0,5.532258064516129,0
VER,54.0,HARD,1,80.918,1.0,7736.136,1.0,1,215.8252427184466,0.6343042071197411,0.21035598705501618,0.0,5.456310679611651,0
VER,55.0,HARD,1,80.962,1.0,7817.098,1.0,1,215.15673981191222,0.6363636363636364,0.19435736677115986,0.0,5.435736677115988,0
VER,56.0,HARD,1,80.49,1.0,7897.588,1.0,1,218.98371335504885,0.6644951140065146,0.1758957654723127,0.0,5.550488599348534,0
VER,57.0,HARD,1,80.511,1.0,7978.099,1.0,1,217.1940789473684,0.6480263157894737,0.20723684210526316,0.0,5.559210526315789,0
VER,58.0,HARD,1,80.513,1.0,8058.612,1.0,1,217.33663366336634,0.6402640264026402,0.20462046204620463,0.0,5.537953795379538,0
VER,59.0,HARD,1,80.367,1.0,8138.979,1.0,1,219.51,0.6566666666666666,0.18666666666666668,0.0,5.553333333333334,0
VER,60.0,HARD,1,80.637,1.0,8219.616,1.0,1,215.58881578947367,0.6381578947368421,0.20394736842105263,0.0,5.473684210526316,0
