driver,lap_number,compound,track_status,lap_time,position,gap_to_leader,final_position,pit_stop_count,speed_avg,throttle_pct,brake_pct,drs_pct,gear_avg,hard_brakes
LEC,1.0,MEDIUM,1,88.179,2.0,3438.931,1.0,1,221.42899408284023,0.6479289940828402,0.1893491124260355,1.0,5.594674556213017,0
LEC,2.0,MEDIUM,1,85.396,2.0,3524.327,1.0,1,240.67173252279636,0.6990881458966566,0.1945288753799392,0.24316109422492402,6.045592705167174,0
LEC,3.0,MEDIUM,1,85.179,2.0,3609.506,1.0,1,242.1246105919003,0.6978193146417445,0.1588785046728972,0.2118380062305296,6.074766355140187,0
LEC,4.0,MEDIUM,1,84.81,2.0,3694.316,1.0,1,243.94637223974763,0.694006309148265,0.17981072555205047,0.21451104100946372,6.107255520504732,0
LEC,5.0,MEDIUM,1,84.603,2.0,3778.919,1.0,1,245.43730886850153,0.6880733944954128,0.1712538226299694,0.22324159021406728,6.143730886850153,0
LEC,6.0,MEDIUM,1,84.663,2.0,3863.582,1.0,1,244.84709480122325,0.7064220183486238,0.1559633027522936,0.21100917431192662,6.143730886850153,0
LEC,7.0,MEDIUM,1,84.434,2.0,3948.016,1.0,1,245.16666666666666,0.7189542483660131,0.14705882352941177,0.21895424836601307,6.107843137254902,0
LEC,8.0,MEDIUM,1,84.569,2.0,4032.585,1.0,1,245.07371794871796,0.7115384615384616,0.15064102564102563,0.23076923076923078,6.147435897435898,0
LEC,9.0,MEDIUM,1,84.362,2.0,4116.947,1.0,1,243.06687898089172,0.7038216560509554,0.16878980891719744,0.2197452229299363,6.073248407643312,0
LEC,10.0,MEDIUM,1,84.432,2.0,4201.379,1.0,1,246.32919254658384,0.6894409937888198,0.16770186335403728,0.2080745341614907,6.142857142857143,0
LEC,11.0,MEDIUM,1,84.846,2.0,4286.225,1.0,1,247.50920245398774,0.7392638036809815,0.1656441717791411,0.0,6.254601226993865,0
LEC,12.0,MEDIUM,1,84.916,2.0,4371.141,1.0,1,242.46835443037975,0.7151898734177216,0.16139240506329114,0.0,6.1265822784810124,0
LEC,13.0,MEDIUM,1,85.529,2.0,4456.67,1.0,1,241.759375,0.70625,0.15,0.0,6.115625,0
LEC,14.0,MEDIUM,1,85.606,2.0,4542.276,1.0,1,239.7723076923077,0.7138461538461538,0.1476923076923077,0.0,6.104615384615385,0
LEC,15.0,MEDIUM,1,90.192,3.0,4632.468,1.0,1,229.58771929824562,0.6695906432748538,0.1871345029239766,0.0,5.8654970760233915,0
LEC,16.0,HARD,1,104.888,7.0,4737.356,1.0,1,197.8117048346056,0.5648854961832062,0.19592875318066158,0.0,4.997455470737913,0
LEC,17.0,HARD,1,84.27,6.0,4821.626,1.0,1,248.30283911671924,0.7287066246056783,0.19242902208201892,0.0,6.2586750788643535,0
LEC,18.0,HARD,1,83.875,6.0,4905.501,1.0,1,248.06578947368422,0.7006578947368421,0.17105263157894737,0.125,6.243421052631579,0
LEC,19.0,HARD,1,84.203,6.0,4989.704,1.0,1,248.98397435897436,0.7211538461538461,0.15384615384615385,0.20512820512820512,6.227564102564102,0
LEC,20.0,HARD,1,83.826,5.0,5073.53,1.0,1,246.23225806451612,0.7064516129032258,0.18064516129032257,0.13548387096774195,6.183870967741935,0
LEC,21.0,HARD,1,83.88,5.0,5157.41,1.0,1,247.5440251572327,0.720125786163522,0.1761006289308176,0.1069182389937107,6.1918238993710695,0
