driver,lap_number,compound,track_status,lap_time,position,gap_to_leader,final_position,pit_stop_count,speed_avg,throttle_pct,brake_pct,drs_pct,gear_avg,hard_brakes
VER,1.0,MEDIUM,12,101.657,2.0,3532.888,3.0,1,179.00520833333334,0.4869791666666667,0.21614583333333334,1.0,4.4375,0
VER,2.0,MEDIUM,1,99.991,2.0,3632.879,3.0,1,195.3455497382199,0.5471204188481675,0.193717277486911,0.1649214659685864,4.908376963350785,0
VER,3.0,MEDIUM,124,122.849,2.0,3755.728,3.0,1,159.82112068965517,0.2823275862068966,0.23275862068965517,0.5431034482758621,3.9331896551724137,0
VER,4.0,MEDIUM,4,,2.0,3907.267,3.0,1,130.1344827586207,0.1310344827586207,0.2517241379310345,1.0,3.1017241379310345,0
VER,5.0,MEDIUM,41,,2.0,4074.813,3.0,1,117.18307692307692,0.16307692307692306,0.3046153846153846,1.0,2.706153846153846,0
VER,6.0,MEDIUM,1,99.779,2.0,4174.592,3.0,1,199.21522309711287,0.5643044619422573,0.2073490813648294,1.0,4.981627296587926,0
VER,7.0,MEDIUM,1,99.731,2.0,4274.323,3.0,1,196.57372654155495,0.5388739946380697,0.2064343163538874,0.1447721179624665,4.97319034852547,0
VER,8.0,MEDIUM,1,100.082,2.0,4374.405,3.0,1,194.2058823529412,0.5347593582887701,0.19786096256684493,0.0,4.922459893048129,0
VER,9.0,MEDIUM,1,100.032,2.0,4474.437,3.0,1,195.27748691099475,0.5340314136125655,0.19633507853403143,0.0,4.986910994764398,0
VER,10.0,MEDIUM,12,99.97,2.0,4574.407,3.0,1,195.3887399463807,0.5442359249329759,0.1903485254691689,0.0,4.943699731903485,0
VER,11.0,MEDIUM,1,100.246,2.0,4674.653,3.0,1,198.00254452926208,0.55470737913486,0.19083969465648856,0.0,5.002544529262087,0
VER,12.0,MEDIUM,1,100.182,2.0,4774.835,3.0,1,193.9012658227848,0.5240506329113924,0.2,0.0,4.934177215189873,0
VER,13.0,MEDIUM,1,99.936,2.0,4874.771,3.0,1,196.34391534391534,0.5476190476190477,0.17724867724867724,0.0,4.968253968253968,0
VER,14.0,MEDIUM,1,99.846,2.0,4974.617,3.0,1,195.02105263157895,0.5368421052631579,0.19210526315789472,0.0,4.889473684210526,0
VER,15.0,MEDIUM,1,100.192,2.0,5074.809,3.0,1,196.96640826873386,0.5478036175710594,0.19121447028423771,0.0,4.943152454780361,0
VER,16.0,MEDIUM,1,100.033,2.0,5174.842,3.0,1,196.18393782383419,0.5259067357512953,0.19948186528497408,0.0,4.94559585492228,0
VER,17.0,MEDIUM,1,100.16,2.0,5275.002,3.0,1,194.94387755102042,0.5255102040816326,0.19642857142857142,0.0,4.887755102040816,0
VER,18.0,MEDIUM,1,99.921,2.0,5374.923,3.0,1,194.9255319148936,0.526595744680851,0.2047872340425532,0.0,4.920212765957447,0
VER,19.0,MEDIUM,1,99.981,2.0,5474.904,3.0,1,196.9737532808399,0.5433070866141733,0.1994750656167979,0.0,4.937007874015748,0
VER,20.0,MEDIUM,1,99.986,2.0,5574.89,3.0,1,197.0104712041885,0.5523560209424084,0.19109947643979058,0.0,4.9214659685863875,0
VER,21.0,MEDIUM,1,99.803,2.0,5674.693,3.0,1,194.34625322997417,0.5607235142118863,0.20155038759689922,0.0,4.875968992248062,0
VER,22.0,MEDIUM,1,100.099,2.0,5774.792,3.0,1,196.51842105263157,0.5657894736842105,0.1868421052631579,0.0,4.939473684210526,0
VER,23.0,MEDIUM,1,100.42,2.0,5875.212,3.0,1,196.63829787234042,0.5558510638297872,0.18882978723404256,0.0,4.930851063829787,0
VER,24.0,MEDIUM,1,100.318,2.0,5975.53,3.0,1,195.176,0.536,0.21333333333333335,0.0,4.914666666666666,0
VER,25.0,MEDIUM,1,100.718,2.0,6076.248,3.0,1,192.62796833773086,0.5224274406332454,0.19788918205804748,0.0,4.83377308707124,0
VER,26.0,HARD,1,119.619,5.0,6195.867,3.0,1,163.77704194260485,0.40176600441501104,0.2119205298013245,0.0,4.119205298013245,0
VER,27.0,HARD,1,99.046,5.0,6294.913,3.0,1,196.54473684210527,0.5157894736842106,0.20789473684210527,0.0,4.976315789473684,0
VER,28.0,HARD,1,98.784,5.0,6393.697,3.0,1,198.26683937823833,0.5362694300518135,0.18134715025906736,0.0,4.994818652849741,0
VER,29.0,HARD,1,99.067,5.0,6492.764,3.0,1,198.08244680851064,0.5212765957446809,0.2154255319148936,0.0,5.0,0
VER,30.0,HARD,1,98.75,5.0,6591.514,3.0,1,196.2657894736842,0.5263157894736842,0.2131578947368421,0.0,4.976315789473684,0
VER,31.0,HARD,1,99.058,5.0,6690.572,3.0,1,198.91957104557642,0.5442359249329759,0.19839142091152814,0.0,5.005361930294906,0
