anno,round,nome_gran_premio,location,data_gara
2023,0,Pre-Season Testing,Sakhir,
2023,1,Bahrain Grand Prix,Sakhir,2023-03-05
2023,2,Saudi Arabian Grand Prix,Jeddah,2023-03-19
2023,3,Australian Grand Prix,Melbourne,2023-04-02
2023,4,Azerbaijan Grand Prix,Baku,2023-04-30
2023,5,Miami Grand Prix,Miami,2023-05-07
2023,6,Monaco Grand Prix,Monaco,2023-05-28
2023,7,Spanish Grand Prix,Barcelona,2023-06-04
2023,8,Canadian Grand Prix,Montréal,2023-06-18
2023,9,Austrian Grand Prix,Spielberg,2023-07-02
2023,10,British Grand Prix,Silverstone,2023-07-09
2023,11,Hungarian Grand Prix,Budapest,2023-07-23
2023,12,Belgian Grand Prix,Spa-Francorchamps,2023-07-30
2023,13,Dutch Grand Prix,Zandvoort,2023-08-27
2023,14,Italian Grand Prix,Monza,2023-09-03
2023,15,Singapore Grand Prix,Marina Bay,2023-09-17
2023,16,Japanese Grand Prix,Suzuka,2023-09-24
2023,17,Qatar Grand Prix,Lusail,2023-10-08
2023,18,United States Grand Prix,Austin,2023-10-22
2023,19,Mexico City Grand Prix,Mexico City,2023-10-29
2023,20,São Paulo Grand Prix,São Paulo,2023-11-05
2023,21,Las Vegas Grand Prix,Las Vegas,2023-11-18
2023,22,Abu Dhabi Grand Prix,Yas Island,2023-11-26
2024,0,Pre-Season Testing,Sakhir,
2024,1,Bahrain Grand Prix,Sakhir,2024-03-02
2024,2,Saudi Arabian Grand Prix,Jeddah,2024-03-09
2024,3,Australian Grand Prix,Melbourne,2024-03-24
2024,4,Japanese Grand Prix,Suzuka,2024-04-07
2024,5,Chinese Grand Prix,Shanghai,2024-04-21
2024,6,Miami Grand Prix,Miami,2024-05-05
2024,7,Emilia Romagna Grand Prix,Imola,2024-05-19
2024,8,Monaco Grand Prix,Monaco,2024-05-26
2024,9,Canadian Grand Prix,Montréal,2024-06-09
2024,10,Spanish Grand Prix,Barcelona,2024-06-23
2024,11,Austrian Grand Prix,Spielberg,2024-06-30
2024,12,British Grand Prix,Silverstone,2024-07-07
2024,13,Hungarian Grand Prix,Budapest,2024-07-21
2024,14,Belgian Grand Prix,Spa-Francorchamps,2024-07-28
2024,15,Dutch Grand Prix,Zandvoort,2024-08-25
2024,16,Italian Grand Prix,Monza,2024-09-01
2024,17,Azerbaijan Grand Prix,Baku,2024-09-15
2024,18,Singapore Grand Prix,Marina Bay,2024-09-22
2024,19,United States Grand Prix,Austin,2024-10-20
2024,20,Mexico City Grand Prix,Mexico City,2024-10-27
2024,21,São Paulo Grand Prix,São Paulo,2024-11-03
2024,22,Las Vegas Grand Prix,Las Vegas,2024-11-23
2024,23,Qatar Grand Prix,Lusail,2024-12-01
2024,24,Abu Dhabi Grand Prix,Yas Island,2024-12-08
2025,1,Australian Grand Prix,Melbourne,2025-03-16
2025,2,Chinese Grand Prix,Shanghai,2025-03-23
2025,3,Japanese Grand Prix,Suzuka,2025-04-06
2025,4,Bahrain Grand Prix,Sakhir,2025-04-13
2025,5,Saudi Arabian Grand Prix,Jeddah,2025-04-20
2025,6,Miami Grand Prix,Miami,2025-05-04
